// Sabine
// Database File
// 
// Item names are vitally important when using early clients, because
// items are identified by them, instead of using their ids. This file
// contains the names, or "string ids" of the items that were available
// in select early clients, so the server can send the correct strings.
// If you change the name of an item, be sure to also change it in the
// client. The names being the ids also causes issues in general, because
// the official item name table in the alpha client contains names that
// are too long and don't work. For this reason, this server requires a
// modified alpha client, because many items would otherwise crash the
// client, when it can't find the correct sprites. Check the docs folder
// for more information.
// 
// Values: id, name, alphaName, betaName, koreanName
// 
// alphaName:
//   The alpha name should be shorter than 16 characters, because that's
//   the maximum length the client can handle. It should use underscores
//   for consistency, but these are replaced internally, because the
//   client doesn't replace underscores by itself as newer clients do.
// 
// betaName:
//   Beta item names must match the names in the client's itemnametable
//   and should use underscores instead of spaces, as the client does.
//   They are replaced with spaces automatically.
// 
// koreanName:
//   The korean name is important for item descriptions on the alpha
//   and beta clients, as it's needed for the client to find the image
//   displayed in the description window. It needs to match the strings
//   found in the client's item lists, or rather, the names of the sprite
//   and texture files, when read with a Korean encoding.
//---------------------------------------------------------------------------

[
// iRO Alpha (2001-08-30)
//---------------------------------------------------------------------------

// Healing
{ id: 501, name: "Red_Potion", alphaName: "Red_Potion", betaName: "Red_Potion", koreanName: "빨간물약" },
{ id: 502, name: "Orange_Potion", alphaName: "Scarlet_Potion", betaName: "Scarlet_Potion", koreanName: "주홍물약" },
{ id: 503, name: "Yellow_potion", alphaName: "Yellow_Potion", betaName: "Yellow_Potion", koreanName: "노란물약" },
{ id: 504, name: "White_Potion", alphaName: "White_Potion", betaName: "White_Potion", koreanName: "하얀물약" },
{ id: 505, name: "Blue_Potion", alphaName: "Blue_Potion", betaName: "Blue_Potion", koreanName: "파란물약" },
{ id: 506, name: "Green_Potion", alphaName: "Green_Potion", betaName: "Green_Potion", koreanName: "초록물약" },
{ id: 507, name: "Red_Herb", alphaName: "Red_Herb", betaName: "Red_Herb", koreanName: "빨간약초" },
{ id: 508, name: "Yellow_Herb", alphaName: "Yellow_Herb", betaName: "Yellow_Herb", koreanName: "노란약초" },
{ id: 509, name: "White_Herb", alphaName: "White_Herb", betaName: "White_Herb", koreanName: "하얀약초" },
{ id: 510, name: "Blue_Herb", alphaName: "Blue_Herb", betaName: "Blue_Herb", koreanName: "파란약초" },
{ id: 511, name: "Green_Herb", alphaName: "Green_Herb", betaName: "Green_Herb", koreanName: "초록약초" },
{ id: 512, name: "Apple", alphaName: "Apple", betaName: "Apple", koreanName: "사과" },
{ id: 513, name: "Banana", alphaName: "Banana", betaName: "Banana", koreanName: "바나나" },
{ id: 514, name: "Grape", alphaName: "Grape", betaName: "Grape", koreanName: "포도" },
{ id: 517, name: "Meat", alphaName: "Meat", betaName: "Meat", koreanName: "고기" },
{ id: 902, name: "Tree_Root", alphaName: "Tree_Root", betaName: "Tree_Root", koreanName: "나무뿌리" },
{ id: 904, name: "Scorpion_Tail", alphaName: "Scorpion_Tail", betaName: "Scorpions_Tail", koreanName: "전갈의꼬리" },
{ id: 906, name: "Pointed_Scale", alphaName: "Scale", betaName: "Scale", koreanName: "비늘줄기" },
{ id: 907, name: "Resin", alphaName: "Resin", betaName: "Resin", koreanName: "고목나무진" },
{ id: 908, name: "Spawn", alphaName: "Spawn", betaName: "Spawn", koreanName: "개구리알" },
{ id: 909, name: "Jellopy", alphaName: "Jellopy", betaName: "Jellopy", koreanName: "젤로피" },
{ id: 911, name: "Scell", alphaName: "Sel", betaName: "Scell", koreanName: "셀" },

// Weapon - Swords
{ id: 1101, name: "Sword", alphaName: "Sword", betaName: "Sword", koreanName: "소드" },
{ id: 1104, name: "Falchion", alphaName: "Falchion", betaName: "Falchion", koreanName: "팔시온" },
{ id: 1107, name: "Blade", alphaName: "Blade", betaName: "Blade", koreanName: "블레이드" },
{ id: 1110, name: "Rapier", alphaName: "Lapier", betaName: "Lapier", koreanName: "레이피어" },
{ id: 1113, name: "Scimiter", alphaName: "Scimiter", betaName: "Scimiter", koreanName: "시미터" },
{ id: 1116, name: "Katana", alphaName: "Katana", betaName: "Katana", koreanName: "카타나" },
{ id: 1119, name: "Tsurugi", alphaName: "Tsurugi", betaName: "Tsurugi", koreanName: "쯔루기" },
{ id: 1151, name: "Slayer", alphaName: "Slayer", betaName: "Slayer", koreanName: "슬레이어" },
{ id: 1154, name: "Bastard_Sword", alphaName: "Bastard_Sword", betaName: "Bastard_Sword", koreanName: "바스타드소드" },
{ id: 1157, name: "Two-handed_Sword", alphaName: "Two-hand_Sword", betaName: "Two-hand_Sword", koreanName: "투핸드소드" },

// Weapon - Knives
{ id: 1201, name: "Knife", alphaName: "Knife", betaName: "Knife", koreanName: "나이프" },
{ id: 1204, name: "Cutter", alphaName: "Cutter", betaName: "Cutter", koreanName: "커터" },
{ id: 1207, name: "Main_Gauche", alphaName: "Main-gauche", betaName: "Main-gauche", koreanName: "망고슈" },
{ id: 1210, name: "Dirk", alphaName: "Dirk", betaName: "Dirk", koreanName: "더크" },
{ id: 1213, name: "Dagger", alphaName: "Dagger", betaName: "Dagger", koreanName: "대거" },
{ id: 1216, name: "Stiletto", alphaName: "Stiletto", betaName: "Stiletto", koreanName: "스틸레토" },
{ id: 1219, name: "Gladius", alphaName: "Gladius", betaName: "Gladius", koreanName: "그라디우스" },
{ id: 1222, name: "Damascus", alphaName: "Damascus", betaName: "Damascus", koreanName: "다마스커스" },
{ id: 1224, name: "Swordbreaker", alphaName: "Sword_Breaker", betaName: "Sword_Breaker", koreanName: "소드브레이커" },
{ id: 1225, name: "Mailbreaker", alphaName: "Mail_Breaker", betaName: "Mail_Breaker", koreanName: "메일브레이커" },

// Weapon - Axes
{ id: 1301, name: "Axe", alphaName: "Axe", betaName: "Axe", koreanName: "액스" },
{ id: 1351, name: "Battle_Axe", alphaName: "Battle_Axe", betaName: "Battle_Axe", koreanName: "배틀액스" },
{ id: 1354, name: "Hammer", alphaName: "War_Hammer", betaName: "War_Hammer", koreanName: "워해머" },
{ id: 1357, name: "Buster", alphaName: "Buster", betaName: "Buster", koreanName: "버스터" },
{ id: 1360, name: "Two-handed_Axe", alphaName: "Two-hand_Axe", betaName: "Two-handed_Axe", koreanName: "투핸드액스" },

// Weapon - Spears
{ id: 1401, name: "Javelin", alphaName: "Javelin", betaName: "Javelin", koreanName: "쟈브린" },
{ id: 1404, name: "Spear", alphaName: "Spear", betaName: "Spear", koreanName: "스피어" },
{ id: 1407, name: "Pike", alphaName: "Pike", betaName: "Pike", koreanName: "파이크" },
{ id: 1410, name: "Lance", alphaName: "Lance", betaName: "Lance", koreanName: "란스" },
{ id: 1451, name: "Guisarme", alphaName: "Guisarme", betaName: "Guisarme", koreanName: "귀사름" },
{ id: 1454, name: "Glaive", alphaName: "Glaive", betaName: "Glaive", koreanName: "그레이브" },
{ id: 1457, name: "Partizan", alphaName: "Partizan", betaName: "Partizan", koreanName: "파르티잔" },
{ id: 1460, name: "Trident", alphaName: "Trident", betaName: "Trident", koreanName: "트라이던트" },
{ id: 1463, name: "Hallberd", alphaName: "Halberd", betaName: "Halberd", koreanName: "할버드" },

// Weapon - Maces
{ id: 1501, name: "Club", alphaName: "Club", betaName: "Club", koreanName: "클럽" },
{ id: 1504, name: "Mace", alphaName: "Mace", betaName: "Mace", koreanName: "메이스" },
{ id: 1507, name: "Smasher", alphaName: "Smasher", betaName: "Smasher", koreanName: "스매셔" },
{ id: 1510, name: "Flail", alphaName: "Flail", betaName: "Flail", koreanName: "플레일" },
{ id: 1513, name: "Morning_Star", alphaName: "Morning_Star", betaName: "Morning_Star", koreanName: "모닝스타" },
{ id: 1516, name: "Sword_Mace", alphaName: "Sword_Mace", betaName: "Sword_Mace", koreanName: "소드메이스" },

// Weapon - Wands
{ id: 1601, name: "Rod", alphaName: "Rod", betaName: "Rod", koreanName: "롯드" },
{ id: 1604, name: "Wand", alphaName: "Wand", betaName: "Wand", koreanName: "완드" },
{ id: 1607, name: "Staff", alphaName: "Staff", betaName: "Staff", koreanName: "스태프" },
{ id: 1610, name: "Arc_Wand", alphaName: "Arc_Wand", betaName: "Arc_Wand", koreanName: "아크완드" },

// Weapon - Bows
{ id: 1701, name: "Bow", alphaName: "Bow", betaName: "Bow", koreanName: "보우" },
{ id: 1704, name: "Composite_Bow", alphaName: "Composite_Bow", betaName: "Composite_Bow", koreanName: "컴포지트보우" },
{ id: 1707, name: "Great_Bow", alphaName: "Great_Bow", betaName: "Great_Bow", koreanName: "그레이트보우" },
{ id: 1710, name: "Cross_Bow", alphaName: "Crossbow", betaName: "CrossBow", koreanName: "크로스보우" },
